,weekday,time,consumption_kwh,consumption_kw
164,Monday,17:00:00,1.2248076923076923,4.899230769230769
165,Monday,17:15:00,1.2159615384615383,4.863846153846153
166,Monday,17:30:00,1.1515384615384616,4.6061538461538465
167,Monday,17:45:00,1.2207692307692306,4.883076923076922
168,Monday,18:00:00,1.1842307692307692,4.736923076923077
169,Monday,18:15:00,1.2144230769230768,4.857692307692307
170,Monday,18:30:00,1.2171153846153846,4.868461538461538
171,Monday,18:45:00,1.2228846153846153,4.891538461538461
172,Monday,19:00:00,1.2211538461538463,4.884615384615385
173,Monday,19:15:00,1.2038461538461538,4.815384615384615
174,Monday,19:30:00,1.1490384615384615,4.596153846153846
175,Monday,19:45:00,1.1759615384615385,4.703846153846154
176,Monday,20:00:00,1.1642307692307692,4.656923076923077
177,Monday,20:15:00,1.188076923076923,4.752307692307692
178,Monday,20:30:00,1.1698076923076923,4.679230769230769
179,Monday,20:45:00,1.1507692307692308,4.603076923076923
180,Monday,21:00:00,1.1003846153846153,4.401538461538461
181,Monday,21:15:00,1.0992307692307692,4.396923076923077
182,Monday,21:30:00,1.1171153846153847,4.468461538461539
183,Monday,21:45:00,1.1253846153846154,4.501538461538462
184,Monday,22:00:00,1.0742307692307693,4.296923076923077
185,Monday,22:15:00,1.115,4.46
186,Monday,22:30:00,1.1457692307692307,4.583076923076923
187,Monday,22:45:00,1.1417307692307692,4.566923076923077
188,Monday,23:00:00,1.2330769230769232,4.932307692307693
189,Monday,23:15:00,1.1938461538461538,4.775384615384615
190,Monday,23:30:00,1.1653846153846155,4.661538461538462
191,Monday,23:45:00,1.1876923076923076,4.75076923076923
192,Saturday,00:00:00,1.0951923076923078,4.380769230769231
193,Saturday,00:15:00,1.166153846153846,4.664615384615384
194,Saturday,00:30:00,1.1465384615384615,4.586153846153846
195,Saturday,00:45:00,1.1359615384615385,4.543846153846154
196,Saturday,01:00:00,1.1496153846153847,4.598461538461539
197,Saturday,01:15:00,1.2411538461538463,4.964615384615385
198,Saturday,01:30:00,1.215,4.86
199,Saturday,01:45:00,1.2228846153846153,4.891538461538461
200,Saturday,02:00:00,1.2144230769230768,4.857692307692307
201,Saturday,02:15:00,1.2490384615384615,4.996153846153846
202,Saturday,02:30:00,1.2071153846153846,4.828461538461538
203,Saturday,02:45:00,1.1584615384615384,4.633846153846154
204,Saturday,03:00:00,1.1686538461538463,4.674615384615385
205,Saturday,03:15:00,1.1653846153846155,4.661538461538462
206,Saturday,03:30:00,1.1492307692307693,4.596923076923077
207,Saturday,03:45:00,1.1376923076923076,4.55076923076923
208,Saturday,04:00:00,1.1253846153846154,4.501538461538462
209,Saturday,04:15:00,1.196346153846154,4.785384615384616
210,Saturday,04:30:00,1.2344230769230768,4.937692307692307
211,Saturday,04:45:00,1.3107692307692307,5.243076923076923
212,Saturday,05:00:00,1.3288461538461538,5.315384615384615
213,Saturday,05:15:00,1.4084615384615384,5.633846153846154
214,Saturday,05:30:00,1.3286538461538462,5.314615384615385
215,Saturday,05:45:00,1.285,5.14
216,Saturday,06:00:00,1.3057692307692308,5.223076923076923
217,Saturday,06:15:00,1.1736538461538462,4.694615384615385
218,Saturday,06:30:00,1.146153846153846,4.584615384615384
219,Saturday,06:45:00,1.1844230769230768,4.737692307692307
220,Saturday,07:00:00,1.0961538461538463,4.384615384615385
221,Saturday,07:15:00,1.0467307692307692,4.186923076923077
222,Saturday,07:30:00,1.0490384615384616,4.196153846153846
